,Indicator Name,R Squared,Correlation Coef (R),Coefficient Name,Coefficient Value,P Value,Significance (5%)
0,Nitrogen_dioxide,0.031,0.176,nr_flights_thou,-0.197,0.226,Not Significant
1,PM10,0.068,0.261,nr_flights_thou,-0.192,0.07,Not Significant
