,CCG_Poll_Map,Year,Nitrogen dioxide,PM10
120,Reading,2020,22.337960482983622,19.421970307968532
121,South West London,2004,32.17711972637567,22.974463454420324
122,South West London,2005,32.569455642932425,23.207930104062253
123,South West London,2006,31.926839848196426,22.97239992698861
124,South West London,2007,34.15358041700518,21.57778888112926
125,South West London,2008,32.64468201507018,20.151395679393726
126,South West London,2009,32.07963126540219,20.70153171500894
127,South West London,2010,32.282602244424766,20.078349973785
128,South West London,2011,28.879385197631734,22.71813238486033
129,South West London,2012,32.365485376182264,19.472033955541164
130,South West London,2013,28.02409971414673,21.258820343384823
131,South West London,2014,29.834611262268897,17.834866632433698
132,South West London,2015,35.243208453222444,18.75926506187874
133,South West London,2016,38.98231118585333,20.061102637558445
134,South West London,2017,34.39632396676987,19.357674085804643
135,South West London,2018,36.08289063549953,19.636448477796364
136,South West London,2019,34.0500938213921,19.308374855572463
137,South West London,2020,24.029461325226613,17.851744709696792
138,Surrey Heartlands,2004,30.98402547904986,21.47258121959448
139,Surrey Heartlands,2005,39.087608784574996,22.62733366354185
140,Surrey Heartlands,2006,35.956973603434136,22.51965087704162
141,Surrey Heartlands,2007,35.235327710340194,22.742162037786255
142,Surrey Heartlands,2008,39.31548685452444,21.444481438297526
143,Surrey Heartlands,2009,41.758018126373685,23.4725685618098
144,Surrey Heartlands,2010,47.63208384522626,24.69139331531693
145,Surrey Heartlands,2011,41.29138180533538,22.431665076979094
146,Surrey Heartlands,2012,40.95292965944561,21.317825226014282
147,Surrey Heartlands,2013,38.89781953479479,21.68049644431042
148,Surrey Heartlands,2014,37.442714415380564,18.961303204552365
149,Surrey Heartlands,2015,31.984241210017363,17.297834529344208
150,Surrey Heartlands,2016,34.76534018316527,22.109540535588643
151,Surrey Heartlands,2017,34.2162207572931,18.63654956842033
152,Surrey Heartlands,2018,30.419069669964408,18.511909173033953
153,Surrey Heartlands,2019,30.26324434825697,18.489248316762627
154,Surrey Heartlands,2020,21.879124509883706,13.300470081324182
155,Watford,2004,38.83654703549304,24.200917388589698
156,Watford,2005,37.95879594066547,24.798499136129173
157,Watford,2006,37.26001478305594,23.5305517946566
158,Watford,2007,35.79176019233154,23.221057177476002
159,Watford,2008,33.70004099844073,21.123615861857893
160,Watford,2009,39.265491325625455,21.864278641480237
161,Watford,2010,38.79100702531181,22.71819955422389
162,Watford,2011,38.54786485792271,24.51266701443069
163,Watford,2012,38.5531932333797,21.794203034165484
164,Watford,2013,39.23086827290806,23.628673170466953
165,Watford,2014,39.91325294937453,20.767375200209635
166,Watford,2015,35.147554524912515,21.838145406792478
167,Watford,2016,35.56754625929749,14.269256335847759
168,Watford,2017,32.594032118045554,13.761175309263376
169,Watford,2018,31.861290743592768,14.98304824030477
170,Watford,2019,30.165464311389666,15.055914373882251
171,Watford,2020,20.81302206171813,13.758944803816776
