,Location,Date,Carbon monoxide,Nitric Oxide,Nitrogen dioxide,Oxides of Nitrogen,Ozone,PM10 Particulate matter,PM10 particulate matter (Hourly measured),PM2.5 particulate matter (Hourly measured),Sulphur dioxide,Nitric oxide
0, Hounslow 2 - Cranford,2004-12-31,,19.36690680852473,35.63710978672637,65.1836486398935,31.628425987905036,22.091612120956807,,,3.6115653820816873,
1, Hounslow 2 - Cranford,2005-12-31,,19.28225185671379,37.73068724269597,66.99313214371185,34.42601047706647,22.159976732701754,,,3.959996846383258,
2, Hounslow 2 - Cranford,2006-12-31,,16.322724490542818,37.43965257518243,62.49330725455533,41.626835958636,22.69530805181096,,,3.0185797266904784,
3, Hounslow 2 - Cranford,2007-12-31,,22.751625996598072,34.51619931328315,69.26068094379164,31.764437187208916,21.877800239529613,,,2.8863708207223944,
4, Hounslow 2 - Cranford,2008-12-31,,19.463411919003896,36.025263393571045,65.72896697466017,36.52743372248239,19.22102954747516,,,3.046297643446082,
5, Hounslow 2 - Cranford,2009-12-31,,13.96896697088942,33.234710799748676,52.411946012295886,34.44903615759541,21.502238734910033,,,12.931383793654584,
6, Hounslow 2 - Cranford,2010-12-31,,8.663226467574294,21.241340945688776,34.29370516761821,48.70446493924756,,,,0.8519104084321476,
7, Hounslow 2 - Cranford,2011-12-31,,11.9373771563073,29.68029852414314,48.16735614783704,31.619417835477595,8.581105978111422,,,-0.019038912575752028,
8, Hounslow 2 - Cranford,2012-12-31,,15.4280603745875,31.152764397758784,54.84384435113138,31.53995588994994,15.819043928347085,,,2.173683352033509,
9, Hounslow 2 - Cranford,2013-12-31,,13.46728938856331,30.431623433542324,51.350989222072045,34.60202533864623,19.26695267790891,,,1.601606597282861,
10, Hounslow 2 - Cranford,2014-12-31,,13.720314705958085,31.390845998127958,52.617017933617554,34.73975631668715,18.42423026364632,,,1.858234573189595,
11, Hounslow 2 - Cranford,2015-12-31,,8.716144897885512,30.231498491251322,43.77489048787889,36.509611695960714,16.409299816974183,,,1.491848415887222,
12, Hounslow 2 - Cranford,2016-12-31,,18.335734405967838,30.811259820997858,59.148750911518206,31.746313582504825,16.99448661130078,,,1.531785693715487,
13, Hounslow 2 - Cranford,2017-12-31,,13.935710814938217,29.940200590736147,51.391409426829014,31.394449485143806,17.464238604369392,,,1.0608677094868952,
14, Hounslow 2 - Cranford,2018-12-31,,8.625243637700388,22.246924708155284,35.41640275511461,36.821549241524295,14.20766889758697,,,1.2060372259081493,
15, Hounslow 2 - Cranford,2019-12-31,,13.818452380952381,6.125,28.148809523809522,26.916123034464754,,,,1.8199897268994778,
16, Hounslow 2 - Cranford,2020-12-31,,3.310737395436644,19.96620187538298,25.078303423720225,36.224710852264145,19.573373205741625,,,2.069656385177153,
17, Hounslow 4 - Chiswick High Road,2004-12-31,,63.55565696398977,77.68493552568751,174.95406153612777,,27.03855432337118,,,4.69991556517825,
18, Hounslow 4 - Chiswick High Road,2005-12-31,,65.12763459242079,71.8146097803662,171.52170307522385,,28.260323114534575,,,4.098670103267906,
19, Hounslow 4 - Chiswick High Road,2006-12-31,,65.44769891117421,68.73002937354488,169.53596685709846,,25.778304874461192,,,3.0480763454334006,
20, Hounslow 4 - Chiswick High Road,2007-12-31,,59.00960906101572,65.22475642430882,155.74055741312776,,24.088654924672305,,,2.506981866572047,
21, Hounslow 4 - Chiswick High Road,2008-12-31,,59.05746983376177,74.88807461644238,165.31789725480024,,25.25761956578537,,,2.567387694695618,
22, Hounslow 4 - Chiswick High Road,2009-12-31,,58.43861962202699,66.79482623299732,156.39656391694822,,27.570291706671398,,,3.0121951219512186,
23, Hounslow 4 - Chiswick High Road,2011-12-31,,58.214764743912866,56.31308933565796,145.29638457092258,,,,,,
24, Hounslow 4 - Chiswick High Road,2012-12-31,,57.600522224921036,55.67279551912477,143.87755673603365,,24.15716128869974,,,,
25, Hounslow 4 - Chiswick High Road,2013-12-31,,64.10642464048145,56.374990528527604,154.71598433477283,,29.058091923126483,,,,
26, Hounslow 4 - Chiswick High Road,2014-12-31,,59.01789433318317,51.81171020512146,142.35008178490156,,27.167634823784386,,,,
27, Hounslow 4 - Chiswick High Road,2015-12-31,,47.14945611027741,44.86206138579237,117.21383326991567,,21.64714861770712,,,,
28, Hounslow 4 - Chiswick High Road,2016-12-31,,57.93036877586195,49.857847996413824,138.7433592100026,,21.806665563716574,,,,
29, Hounslow 4 - Chiswick High Road,2017-12-31,,49.96675781038495,53.38776869348636,129.99839054632085,,19.831805483471463,,,,
30, Hounslow 4 - Chiswick High Road,2018-12-31,,43.190488811367324,47.24851756740381,113.46210191337356,,19.76765561105545,,,,
31, Hounslow 4 - Chiswick High Road,2019-12-31,,28.212591397661754,41.66793082917603,84.92318130002754,18.0,18.68735201932108,,,,
32, Hounslow 4 - Chiswick High Road,2020-12-31,,16.76847269441142,31.306569276134514,57.01313690152618,,18.980520752698133,,,,
33, Hounslow Brentford,2004-12-31,0.8174028579925703,68.53370624157917,58.19216136447506,162.99618435241473,,34.937782727538156,,,,
34, Hounslow Brentford,2005-12-31,0.8392115285668963,63.907286106055096,48.95447789094806,146.7017312902973,,37.14773539677292,,,,
35, Hounslow Brentford,2006-12-31,0.5013910806898613,56.75295238081709,54.18320013333278,140.81613033902755,,36.425828477978385,,,,
36, Hounslow Brentford,2007-12-31,0.5391916818669604,67.24005129866931,62.786907016642154,165.60117187670372,,34.12188875737988,,,,
37, Hounslow Brentford,2008-12-31,,56.08116784541515,57.687691500904286,143.27928696346171,,40.759157767172944,,,,
