,Location,Date,Carbon monoxide,Nitric Oxide,Nitrogen dioxide,Oxides of Nitrogen,Ozone,PM10 Particulate matter,PM10 particulate matter (Hourly measured),PM2.5 particulate matter (Hourly measured),Sulphur dioxide,Nitric oxide,CCG,lat/long,distance_from_LHR,Radius
212,Elmbridge Hampton Court Parade,2014,,,39.79127316111114,,,,,,,,Surrey Heartlands,"[51.40216152304497, -0.34402065933184756]",10.740807583665386,Inner
213,Elmbridge Hampton Court Parade,2015,,,37.66360582328768,,,,,,,,Surrey Heartlands,"[51.40216152304497, -0.34402065933184756]",10.740807583665386,Inner
214,Elmbridge Hampton Court Parade,2016,,,37.61370974726776,,,,,,,,Surrey Heartlands,"[51.40216152304497, -0.34402065933184756]",10.740807583665386,Inner
215,Elmbridge Hampton Court Parade,2017,,,33.485813572237966,,,,,,,,Surrey Heartlands,"[51.40216152304497, -0.34402065933184756]",10.740807583665386,Inner
216,Elmbridge Hampton Court Parade,2018,,,32.43923380684933,,,,,,,,Surrey Heartlands,"[51.40216152304497, -0.34402065933184756]",10.740807583665386,Inner
217,Elmbridge Hampton Court Parade,2019,,,30.781254542465742,,,,,,,,Surrey Heartlands,"[51.40216152304497, -0.34402065933184756]",10.740807583665386,Inner
218,Elmbridge Hampton Court Parade,2020,,,24.058537191964287,,,,,,,,Surrey Heartlands,"[51.40216152304497, -0.34402065933184756]",10.740807583665386,Inner
219,Elmbridge Weybridge High St,2018,,,29.487576168910245,,,,,,,,Surrey Heartlands,"[51.3727015, -0.45874895987068953]",10.825744568261955,Inner
220,Elmbridge Weybridge High St,2019,,,29.302872243390812,,,,,,,,Surrey Heartlands,"[51.3727015, -0.45874895987068953]",10.825744568261955,Inner
221,Elmbridge Weybridge High St,2020,,,21.1189793762918,,,,,,,,Surrey Heartlands,"[51.3727015, -0.45874895987068953]",10.825744568261955,Inner
222,Elmbridge Weybridge High St 2,2018,,,16.242406519327726,,,,,,,,Surrey Heartlands,"[51.37307242347011, -0.4580894439881519]",10.783303823187119,Inner
223,Elmbridge Weybridge High St 2,2019,,,18.590450405444127,,,,,,,,Surrey Heartlands,"[51.37307242347011, -0.4580894439881519]",10.783303823187119,Inner
224,Elmbridge Weybridge High St 2,2020,,,17.690941301492536,,,,,,,,Surrey Heartlands,"[51.37307242347011, -0.4580894439881519]",10.783303823187119,Inner
225,Farnham The Woolmead,2008,,,,,,,53.288574954819275,,,,Surrey Heartlands,"[51.21688612700031, -0.7962640305014674]",36.82991563276573,Outer
226,Farnham The Woolmead,2018,,,28.055896262921337,,,,,,,,Surrey Heartlands,"[51.21688612700031, -0.7962640305014674]",36.82991563276573,Outer
227,Farnham The Woolmead,2019,,,24.306364268523673,,,,,,,,Surrey Heartlands,"[51.21688612700031, -0.7962640305014674]",36.82991563276573,Outer
228,Farnham The Woolmead,2020,,,15.808129460416659,,,,,,,,Surrey Heartlands,"[51.21688612700031, -0.7962640305014674]",36.82991563276573,Outer
229,Godalming Ockford Road 2,2018,,,55.55787579704796,,,,,,,,Surrey Heartlands,"[51.1865358, -0.6189149]",33.53304404475158,Outer
230,Godalming Ockford Road 2,2019,,,57.256134282191816,,,,,,,,Surrey Heartlands,"[51.1865358, -0.6189149]",33.53304404475158,Outer
231,Godalming Ockford Road 2,2020,,,42.06037393035714,,,,,,,,Surrey Heartlands,"[51.1865358, -0.6189149]",33.53304404475158,Outer
232,Heathrow Bath Road,2019,,,48.189488395625695,,,,14.179841017354272,9.391114351360905,,,Hillingdon,"[51.4814078, -0.4625284]",1.3887363498797447,Inner
233,Heathrow Bath Road,2020,,,37.44196189118106,,,,13.201417256531567,7.670733735843149,,,Hillingdon,"[51.4814078, -0.4625284]",1.3887363498797447,Inner
234,Heathrow Green Gates,2004,,,38.747582909685576,,,,26.235829472676205,12.248355810642499,,,Hillingdon,"[51.481478, -0.486675]",2.5792077089726644,Inner
235,Heathrow Green Gates,2005,,,36.11378817992277,,,,25.33365081934026,12.105307275202694,,,Hillingdon,"[51.481478, -0.486675]",2.5792077089726644,Inner
236,Heathrow Green Gates,2006,,,37.461843437946456,,,,26.606187497060716,12.929494478950998,,,Hillingdon,"[51.481478, -0.486675]",2.5792077089726644,Inner
237,Heathrow Green Gates,2007,,,38.126009402065165,,,,24.83050790266178,15.052291651322838,,,Hillingdon,"[51.481478, -0.486675]",2.5792077089726644,Inner
238,Heathrow Green Gates,2008,,,37.859867165435446,,,,18.30183997264219,10.945686760433656,,,Hillingdon,"[51.481478, -0.486675]",2.5792077089726644,Inner
239,Heathrow Green Gates,2009,,,37.58279633955482,,,,17.569189572917967,10.052332891761592,,,Hillingdon,"[51.481478, -0.486675]",2.5792077089726644,Inner
240,Heathrow Green Gates,2010,,,41.34939615637983,,,,18.182088686576478,9.888419784503766,,,Hillingdon,"[51.481478, -0.486675]",2.5792077089726644,Inner
241,Heathrow Green Gates,2011,,,34.73046643152361,,,,20.41532247085852,10.167958978021518,,,Hillingdon,"[51.481478, -0.486675]",2.5792077089726644,Inner
242,Heathrow Green Gates,2012,,,33.58410386404861,,,,19.370531846654423,9.864724957510706,,,Hillingdon,"[51.481478, -0.486675]",2.5792077089726644,Inner
243,Heathrow Green Gates,2013,,,33.55574131121262,,,,20.571668464816753,10.13411125623858,,,Hillingdon,"[51.481478, -0.486675]",2.5792077089726644,Inner
244,Heathrow Green Gates,2014,,,35.236871051109624,,,,16.654916470534115,9.663012257608633,,,Hillingdon,"[51.481478, -0.486675]",2.5792077089726644,Inner
245,Heathrow Green Gates,2015,,,32.17187612383497,,,,13.839169856491525,8.766672167705527,,,Hillingdon,"[51.481478, -0.486675]",2.5792077089726644,Inner
246,Heathrow Green Gates,2016,,,34.22948088599897,,,,14.271159014349452,9.477520632671702,,,Hillingdon,"[51.481478, -0.486675]",2.5792077089726644,Inner
247,Heathrow Green Gates,2017,,,31.92744353415954,,,,12.66536698130803,8.353188732384679,,,Hillingdon,"[51.481478, -0.486675]",2.5792077089726644,Inner
248,Heathrow Green Gates,2018,,,30.527792108268315,,,,13.701635596585263,8.722836624562646,,,Hillingdon,"[51.481478, -0.486675]",2.5792077089726644,Inner
249,Heathrow Green Gates,2019,,,30.650325907806558,,,,13.002403919497736,8.387359730444464,,,Hillingdon,"[51.481478, -0.486675]",2.5792077089726644,Inner
250,Heathrow Green Gates,2020,,,19.109350414765355,,,,11.808927791708774,7.025716338750422,,,Hillingdon,"[51.481478, -0.486675]",2.5792077089726644,Inner
251,Heathrow LHR2,2004,,,55.21005422840706,,,,26.847230231754462,,,,Hillingdon,"[51.479167, -0.440556]",1.392819200703356,Inner
252,Heathrow LHR2,2005,,,53.56507574299696,,,,30.383919850336245,,,,Hillingdon,"[51.479167, -0.440556]",1.392819200703356,Inner
253,Heathrow LHR2,2006,,,51.711275434207835,,,,31.307190410015174,,,,Hillingdon,"[51.479167, -0.440556]",1.392819200703356,Inner
