Date,Location,Nitrogen dioxide,Ozone,PM10 particulate matter (Hourly measured),PM2.5 particulate matter (Hourly measured),Sulphur dioxide,CCG
2004-12,Watford Town Hall,,,29.549242424242422,,,Watford
2005-01,Broadway,73.72909955959521,,23.84652873657431,,7.3865889370902735,Hammersmith and Fulham
2005-01,Brook Green,37.2747324246143,,16.59727223351409,,,Hammersmith and Fulham
2005-01,Oxford High St,52.68807287460864,,24.23897049777318,,,Oxford
2005-01,Oxford St Ebbes (Cal Club),,43.90042075736327,,,,Oxford
2005-01,Watford Roadside,34.080681882399986,40.168542093717406,,,,Watford
2005-01,Watford Town Hall,,,19.762083166430994,,,Watford
2005-02,Broadway,59.134455650327936,,29.245886387163555,,3.8312082522765576,Hammersmith and Fulham
2005-02,Brook Green,45.080072544642846,,22.269545807453408,,,Hammersmith and Fulham
2005-02,Oxford High St,64.98828933747413,,29.50956632653061,,,Oxford
2005-02,Oxford St Ebbes (Cal Club),,36.074404761904766,,,,Oxford
2005-02,Watford Roadside,42.42104136805224,33.94832251082251,,,,Watford
2005-02,Watford Town Hall,,,22.551753952569175,,,Watford
2005-03,Broadway,71.08443540019762,,40.08228864734299,,7.009015246122845,Hammersmith and Fulham
2005-03,Brook Green,47.751901735624116,,30.67325993007509,,,Hammersmith and Fulham
2005-03,Oxford High St,49.99485681205047,,36.10471014492754,,,Oxford
2005-03,Oxford St Ebbes (Cal Club),,41.28763440860215,,,,Oxford
2005-03,Scrubs Lane,60.132187500000015,,68.08402777777776,,,Hammersmith and Fulham
2005-03,Watford Roadside,43.65842683496961,36.34855922478643,,,,Watford
2005-03,Watford Town Hall,,,35.916783543712015,,,Watford
2005-04,Broadway,82.94746821367276,,37.2879494478951,,10.712158903061225,Hammersmith and Fulham
2005-04,Brook Green,44.41096939405704,,26.534466905901116,,,Hammersmith and Fulham
2005-04,Oxford High St,43.96636407071191,,25.943055555555556,,,Oxford
2005-04,Oxford St Ebbes (Cal Club),,48.63080808080808,,,,Oxford
2005-04,Scrubs Lane,54.91444633152173,,35.1007306763285,,,Hammersmith and Fulham
